00h00m00.0039s +61d00m00.0091s
00h00m00.0041s +63d00m00.0091s
00h33m00.1627s +61d00m00.0062s
00h49m30.2422s +61d00m00.0046s
01h17m39.8535s +59d00m00.002s
01h33m11.8235s +59d00m00.0005s
01h34m38.8885s +65d00m00.0003s
01h39m00.4803s +61d00m00.0000s
01h42m22.336s +66d59m59.9996s
01h48m43.7936s +58d59m59.999s
01h55m30.5600s +60d59m59.9984s
01h57m30.5447s +56d59m59.9982s
02h04m15.7633s +58d59m59.9975s
02h12m00.6387s +60d59m59.9968s
02h12m11.8626s +56d59m59.9968s
02h19m47.7332s +58d59m59.9961s
02h20m58.3308s +62d59m59.9959s
02h26m53.1803s +56d59m59.9954s
02h35m19.7033s +58d59m59.9946s
02h41m34.4979s +56d59m59.994s
02h47m22.2573s +54d59m59.9935s
02h56m12.9121s +62d59m59.9927s
03h01m19.1116s +54d59m59.9922s
03h01m30.8773s +60d59m59.9922s
03h06m06.2253s +52d59m59.9918s
03h10m57.1334s +56d59m59.9914s
03h15m15.9656s +54d59m59.991s
03h18m00.956s +60d59m59.9908s
03h21m55.6129s +58d59m59.9904s
03h25m38.4511s +56d59m59.9901s
03h29m12.8208s +54d59m59.9898s
03h32m41.3996s +52d59m59.9895s
03h34m31.0356s +60d59m59.9894s
03h36m06.3715s +50d59m59.9892s
03h37m27.583s +58d59m59.9891s
03h40m19.7687s +56d59m59.9889s
03h43m09.6748s +54d59m59.9887s
03h45m58.987s +52d59m59.9884s
03h48m49.0991s +50d59m59.9882s
03h52m59.5521s +58d59m59.9879s
03h55m01.0855s +56d59m59.9877s
03h57m06.5291s +54d59m59.9875s
03h59m16.5741s +52d59m59.9874s
04h01m31.8267s +50d59m59.9872s
04h03m52.8324s +48d59m59.987s
04h09m42.4031s +56d59m59.9866s
04h11m03.3833s +54d59m59.9865s
04h12m34.1613s +52d59m59.9864s
04h14m14.5544s +50d59m59.9862s
04h16m04.4743s +48d59m59.9861s
04h18m03.9102s +46d59m59.986s
04h20m12.9206s +44d59m59.9858s
04h22m31.6156s +42d59m59.9856s
04h26m57.282s +50d59m59.9853s
04h28m16.1161s +48d59m59.9852s
04h29m47.7255s +46d59m59.9851s
04h31m31.7421s +44d59m59.985s
04h33m27.9315s +42d59m59.9849s
04h40m27.7561s +48d59m59.9844s
04h41m31.5389s +46d59m59.9843s
04h42m50.5653s +44d59m59.9842s
04h44m24.2492s +42d59m59.9841s
04h52m39.3977s +48d59m59.9836s
04h55m20.5671s +42d59m59.9834s
04h56m48.1773s +40d59m59.9833s
04h58m31.6960s +38d59m59.9832s
05h00m30.7549s +36d59m59.9831s
05h02m45.1284s +34d59m59.983s
05h04m51.0395s +48d59m59.9828s
05h06m16.8828s +42d59m59.9828s
05h07m24.1833s +40d59m59.9827s
05h08m49.3400s +38d59m59.9826s
05h10m31.7801s +36d59m59.9825s
05h17m19.4588s +30d59m59.9821s
05h18m00.1890s +40d59m59.9821s
05h19m06.9840s +38d59m59.9820s
05h20m08.3497s +28d59m59.9820s
05h20m32.8056s +36d59m59.9820s
05h26m39.4429s +30d59m59.9816s
05h28m36.1949s +40d59m59.9815s
05h29m17.1608s +28d59m59.9815s
05h29m24.6298s +38d59m59.9815s
05h30m33.8308s +36d59m59.9814s
05h32m03.0433s +34d59m59.9814s
05h33m51.7055s +32d59m59.9813s
05h35m25.6147s +24d59m59.9812s
05h35m59.4269s +30d59m59.9812s
05h38m25.9699s +28d59m59.981s
05h41m11.2317s +26d59m59.9809s
05h41m49.0158s +34d59m59.9809s
05h42m45.9851s +20d59m59.9808s
05h43m24.0401s +32d59m59.9808s
05h44m15.2363s +24d59m59.9808s
05h45m19.4112s +30d59m59.9807s
05h46m53.9775s +18d59m59.9807s
05h47m34.781s +28d59m59.9806s
05h50m09.9482s +26d59m59.9805s
05h51m20.1361s +20d59m59.9805s
05h51m34.9861s +34d59m59.9804s
05h52m56.3746s +32d59m59.9804s
05h53m04.8577s +24d59m59.9804s
05h54m39.3953s +30d59m59.9803s
